B4C01 CORRECTED FULL RUN  n_sims=200 per generator x 5 generators = 1000 total
out=C:\Users\mpolz\Documents\UNI-Flagellum\UNI-FLAGELLUM\hierarchical-aif\results\motor_stack_aif\B4C01_CORRECTED_FULL_RESULT.json
progress=C:\Users\mpolz\Documents\UNI-Flagellum\UNI-FLAGELLUM\hierarchical-aif\results\motor_stack_aif\B4C01_CORRECTED_FULL_PROGRESS.json
  [M3_TWO_TIMESCALE] 20/200  elapsed 1303s  eta 11729s  self_wins=17 fail=0
  [M3_TWO_TIMESCALE] 30/200  elapsed 1882s  eta 10662s  self_wins=26 fail=0
  [M3_TWO_TIMESCALE] 40/200  elapsed 2371s  eta 9486s  self_wins=36 fail=0
  [M3_TWO_TIMESCALE] 50/200  elapsed 2860s  eta 8579s  self_wins=45 fail=0
  [M3_TWO_TIMESCALE] 60/200  elapsed 3344s  eta 7804s  self_wins=55 fail=0
  [M3_TWO_TIMESCALE] 70/200  elapsed 3789s  eta 7036s  self_wins=65 fail=0
  [M3_TWO_TIMESCALE] 80/200  elapsed 4434s  eta 6650s  self_wins=75 fail=0
  [M3_TWO_TIMESCALE] 90/200  elapsed 5116s  eta 6253s  self_wins=84 fail=0
  [M3_TWO_TIMESCALE] 100/200  elapsed 5792s  eta 5792s  self_wins=93 fail=0
  [M3_TWO_TIMESCALE] 110/200  elapsed 6472s  eta 5295s  self_wins=101 fail=0
  [M3_TWO_TIMESCALE] 120/200  elapsed 7160s  eta 4773s  self_wins=110 fail=0
  [M3_TWO_TIMESCALE] 130/200  elapsed 7818s  eta 4210s  self_wins=120 fail=0
  [M3_TWO_TIMESCALE] 140/200  elapsed 8449s  eta 3621s  self_wins=130 fail=0
  [M3_TWO_TIMESCALE] 150/200  elapsed 9084s  eta 3028s  self_wins=140 fail=0
  [M3_TWO_TIMESCALE] 160/200  elapsed 9745s  eta 2436s  self_wins=150 fail=0
  [M3_TWO_TIMESCALE] 170/200  elapsed 10413s  eta 1838s  self_wins=160 fail=0
  [M3_TWO_TIMESCALE] 180/200  elapsed 11066s  eta 1230s  self_wins=169 fail=0
  [M3_TWO_TIMESCALE] 190/200  elapsed 11718s  eta 617s  self_wins=178 fail=0
  [M3_TWO_TIMESCALE] 200/200  elapsed 12388s  eta 0s  self_wins=187 fail=0
